player_nick,player_name,team,total_score,total_games,career_efficiency,eff_std,eff_min,eff_max,eff_range,adjusted_efficiency,sos,consistency,rank,composite_index
wbccoldmind,Stanislav Hyžík jr.,Team International C,39.0,108.0,0.3611,0.1821442926180596,0.1667,0.5278,0.3611000000000001,0.34625971172285436,0.5105444444444445,0.6388999999999999,50.5,-41.15668107914286
wbcgeordie,Stanislav Hyžík sr.,Team International C,29.0,84.0,0.3452,0.1849488307613757,0.0833,0.4444,0.3611,0.31324595656555765,0.45007142857142857,0.6389,52.0,-42.93315083005632
wbcuida,Liu Xiangbo,China,44.0,108.0,0.4074,0.5132066542826583,0.1111,1.0,0.8889,0.39065689990554103,0.4696444444444444,0.11109999999999998,45.0,-43.226688011094204
wbcdistilfire,Petr Podolský,Czechia C,39.0,108.0,0.3611,0.2222,0.1389,0.5833,0.4444,0.34625971172285436,0.6094,0.5556,50.5,-43.99927268291875
wbcfojtman,Jakub Fojtík,Czechia D,38.5,96.0,0.401,0.4611531668907124,0.1944,1.0,0.8056,0.3748469943685754,0.5177125,0.19440000000000002,47.0,-44.418929204728414
wbcpiggi,Matěj Holub,Czechia D,24.0,60.0,0.4,0.4330127018922193,0.25,1.0,0.75,0.33540943311936505,0.48104,0.25,48.0,-46.48213885029301
wbcadelstepan,Libor Krejčíř,Czechia F,21.0,72.0,0.2917,0.2160211216524903,0.1389,0.4444,0.3055,0.25548927167133445,0.5049333333333333,0.6945,53.0,-48.246685379388026
wbcpurkys,Jan Purkrábek,Czechia E,29.0,108.0,0.2685,0.1970325184667072,0.0556,0.4444,0.3888,0.25746533535748106,0.5392666666666667,0.6112,55.0,-49.74933997259886
wbchajnal,Hajnalka Kovács,Team International B,11.0,24.0,0.4583,0.6482047863137081,0.0,0.9167,0.9167,0.2982922702047617,0.38885000000000003,0.08330000000000004,42.0,-50.148487152010055
wbcskoupy,Vít Jiřík,Czechia F,14.0,60.0,0.2333,0.2160918323306089,0.1111,0.4167,0.3056,0.19562755186686967,0.46112000000000003,0.6944,56.0,-52.661013646019356
wbckakosik,Eva Orlova,Team International B,13.0,48.0,0.2708,0.2651650429449553,0.0833,0.4583,0.375,0.2146966537603417,0.5272749999999999,0.625,54.0,-53.07744685141803
wbc1211,Wang Siyuan,Team International D,7.0,72.0,0.0972,0.0589019948728394,0.0556,0.1389,0.0833,0.0851338951198276,0.37338333333333334,0.9167,59.0,-57.8724205401338
wbccrosslet,Karol Podwyszyński,Poland B,5.0,36.0,0.1389,,0.1389,0.1389,0.0,0.10193958068401433,0.6504666666666666,1.0,57.0,-60.37402187722195
wbcrichi,Richard Červenka,Team International C,5.0,72.0,0.0694,0.0589019948728394,0.0278,0.1111,0.0833,0.060784900425062086,0.44521666666666665,0.9167,60.0,-61.29051187701245
wbcseabow,Jana Adámková,Team International C,4.0,36.0,0.1111,,0.1111,0.1111,0.0,0.08153698642184301,0.7037,1.0,58.0,-63.11216584732509
wbckaktuszka,Krisztina Kamarás,Hungary C,4.0,108.0,0.037,0.0321006749669431,0.0,0.0556,0.0556,0.035479394444047664,0.5163888888888889,0.9444,62.5,-64.4296789141853
wbccsaba,Csaba Kamarás,Hungary C,4.0,108.0,0.037,0.0424106511778979,0.0,0.0833,0.0833,0.035479394444047664,0.5165000000000001,0.9167,62.5,-64.78183511261352
wbctorpe,M. Nándor Halena,Hungary C,3.0,108.0,0.0278,0.0278,0.0,0.0556,0.0556,0.02665749096066284,0.5008888888888889,0.9444,65.0,-64.91632540466817
wbcmulan,Bai Liu,Team International D,1.0,36.0,0.0278,,0.0278,0.0278,0.0,0.020402594262171333,0.5335,1.0,65.0,-65.34787748589652
wbcfuzaty,Michal Holec,Team International C,1.0,24.0,0.0417,,0.0417,0.0417,0.0,0.027141146994411006,0.7222,1.0,61.0,-68.17794464204192
wbc366,Wang Haoran,China,1.0,36.0,0.0278,,0.0278,0.0278,0.0,0.020402594262171333,0.7037,1.0,65.0,-68.42908945081868
