tournament_round,match_id,sub_round,sub_round_score_a,sub_round_score_b,player_a_name,player_a_nick,player_a_team,player_b_name,player_b_nick,player_b_team,score_a,score_b,total_games,winner
1,Team International C vs Russia,2,2.0,34.0,Stanislav Hyžík jr.,wbccoldmind,Team International C,Ilya Katsev,wbcbromozel,Russia,2.0,10.0,12.0,B
1,Team International C vs Russia,2,2.0,34.0,Jana Adámková,wbcseabow,Team International C,Alexey Lebedev,wbcalleb,Russia,0.0,12.0,12.0,B
1,Team International C vs Russia,2,2.0,34.0,Michal Holec,wbcfuzaty,Team International C,Ilya Muratov,wbcfurla,Russia,0.0,12.0,12.0,B
1,Team International C vs Russia,3,4.0,32.0,Stanislav Hyžík jr.,wbccoldmind,Team International C,Alexey Lebedev,wbcalleb,Russia,2.0,10.0,12.0,B
1,Team International C vs Russia,3,4.0,32.0,Jana Adámková,wbcseabow,Team International C,Ilya Muratov,wbcfurla,Russia,1.0,11.0,12.0,B
1,Team International C vs Russia,3,4.0,32.0,Michal Holec,wbcfuzaty,Team International C,Ilya Katsev,wbcbromozel,Russia,1.0,11.0,12.0,B
1,Team International C vs Russia?Authuser=0,1,6.0,30.0,Stanislav Hyžík jr.,wbccoldmind,Team International C,Ilya Muratov,wbcfurla,Russia?Authuser=0,2.0,10.0,12.0,B
1,Team International C vs Russia?Authuser=0,1,6.0,30.0,Jana Adámková,wbcseabow,Team International C,Ilya Katsev,wbcbromozel,Russia?Authuser=0,3.0,9.0,12.0,B
1,Team International C vs Russia?Authuser=0,1,6.0,30.0,Stanislav Hyžík sr.,wbcgeordie,Team International C,Alexey Lebedev,wbcalleb,Russia?Authuser=0,1.0,11.0,12.0,B
1,Team International C vs Russia?Authuser=0,2,2.0,34.0,Stanislav Hyžík jr.,wbccoldmind,Team International C,Ilya Katsev,wbcbromozel,Russia?Authuser=0,2.0,10.0,12.0,B
1,Team International C vs Russia?Authuser=0,2,2.0,34.0,Jana Adámková,wbcseabow,Team International C,Alexey Lebedev,wbcalleb,Russia?Authuser=0,0.0,12.0,12.0,B
1,Team International C vs Russia?Authuser=0,2,2.0,34.0,Michal Holec,wbcfuzaty,Team International C,Ilya Muratov,wbcfurla,Russia?Authuser=0,0.0,12.0,12.0,B
1,Team International C vs Russia?Authuser=0,3,4.0,32.0,Stanislav Hyžík jr.,wbccoldmind,Team International C,Alexey Lebedev,wbcalleb,Russia?Authuser=0,2.0,10.0,12.0,B
1,Team International C vs Russia?Authuser=0,3,4.0,32.0,Jana Adámková,wbcseabow,Team International C,Ilya Muratov,wbcfurla,Russia?Authuser=0,1.0,11.0,12.0,B
1,Team International C vs Russia?Authuser=0,3,4.0,32.0,Michal Holec,wbcfuzaty,Team International C,Ilya Katsev,wbcbromozel,Russia?Authuser=0,1.0,11.0,12.0,B
1,Team International D vs Czechia C,1,22.5,13.5,Alois Mikeš,wbclojzeidon,Team International D,Li Fuwen,wbcplayer,Czechia C,7.5,4.5,12.0,A
1,Team International D vs Czechia C,1,22.5,13.5,Štěpán Tesařík,wbcperoxid,Team International D,Wang Siyuan,wbc1211,Czechia C,12.0,0.0,12.0,A
1,Team International D vs Czechia C,1,22.5,13.5,Petr Podolský,wbcdistilfire,Team International D,Nguyễn Công Minh,wbcnguyenminh,Czechia C,3.0,9.0,12.0,B
1,Team International D vs Czechia C,2,24.0,12.0,Alois Mikeš,wbclojzeidon,Team International D,Wang Siyuan,wbc1211,Czechia C,11.0,1.0,12.0,A
1,Team International D vs Czechia C,2,24.0,12.0,Štěpán Tesařík,wbcperoxid,Team International D,Nguyễn Công Minh,wbcnguyenminh,Czechia C,6.0,6.0,12.0,Draw
1,Team International D vs Czechia C,2,24.0,12.0,Petr Podolský,wbcdistilfire,Team International D,Li Fuwen,wbcplayer,Czechia C,7.0,5.0,12.0,A
1,Team International D vs Czechia C,3,19.0,17.0,Alois Mikeš,wbclojzeidon,Team International D,Nguyễn Công Minh,wbcnguyenminh,Czechia C,3.0,9.0,12.0,B
1,Team International D vs Czechia C,3,19.0,17.0,Štěpán Tesařík,wbcperoxid,Team International D,Li Fuwen,wbcplayer,Czechia C,5.0,7.0,12.0,B
1,Team International D vs Czechia C,3,19.0,17.0,Petr Podolský,wbcdistilfire,Team International D,Wang Siyuan,wbc1211,Czechia C,11.0,1.0,12.0,A
2,China vs Team International A,1,8.0,28.0,Liu Wenhao,wbcyu20,China,Ashot Avetisyan,wbcashot,Team International A,1.0,11.0,12.0,B
2,China vs Team International A,1,8.0,28.0,Liu Xiangbo,wbcuida,China,Matīss Riherts,wbcmatiss,Team International A,2.0,10.0,12.0,B
2,China vs Team International A,1,8.0,28.0,Zhang Haoxiang,wbcpangbai,China,Szczepan Łukasik,wbckremufka,Team International A,5.0,7.0,12.0,B
2,China vs Team International A,2,11.0,25.0,Liu Wenhao,wbcyu20,China,Matīss Riherts,wbcmatiss,Team International A,4.0,8.0,12.0,B
2,China vs Team International A,2,11.0,25.0,Liu Xiangbo,wbcuida,China,Szczepan Łukasik,wbckremufka,Team International A,1.0,11.0,12.0,B
2,China vs Team International A,2,11.0,25.0,Zhang Haoxiang,wbcpangbai,China,Ashot Avetisyan,wbcashot,Team International A,6.0,6.0,12.0,Draw
2,China vs Team International A,3,10.0,26.0,Liu Wenhao,wbcyu20,China,Szczepan Łukasik,wbckremufka,Team International A,8.0,4.0,12.0,A
2,China vs Team International A,3,10.0,26.0,Liu Xiangbo,wbcuida,China,Ashot Avetisyan,wbcashot,Team International A,1.0,11.0,12.0,B
2,China vs Team International A,3,10.0,26.0,Zhang Haoxiang,wbcpangbai,China,Matīss Riherts,wbcmatiss,Team International A,1.0,11.0,12.0,B
2,Czechia B vs Czechia D,1,28.0,8.0,Jakub Horák,wbc3ifndef,Czechia B,Matěj Holub,wbcpiggi,Czechia D,8.0,4.0,12.0,A
2,Czechia B vs Czechia D,1,28.0,8.0,Lukáš Souček,wbciwbtc,Czechia B,Jakub Fojtík,wbcfojtman,Czechia D,9.0,3.0,12.0,A
2,Czechia B vs Czechia D,1,28.0,8.0,Martin Muzika,wbcmartez,Czechia B,Tomáš Palacký,wbctasemnice,Czechia D,11.0,1.0,12.0,A
2,Czechia B vs Czechia D,2,31.0,5.0,Jakub Horák,wbc3ifndef,Czechia B,Jakub Fojtík,wbcfojtman,Czechia D,11.0,1.0,12.0,A
2,Czechia B vs Czechia D,2,31.0,5.0,Lukáš Souček,wbciwbtc,Czechia B,Tomáš Palacký,wbctasemnice,Czechia D,10.0,2.0,12.0,A
2,Czechia B vs Czechia D,2,31.0,5.0,Martin Muzika,wbcmartez,Czechia B,Matěj Holub,wbcpiggi,Czechia D,10.0,2.0,12.0,A
2,Czechia B vs Czechia D,3,27.0,9.0,Jakub Horák,wbc3ifndef,Czechia B,Tomáš Palacký,wbctasemnice,Czechia D,9.0,3.0,12.0,A
2,Czechia B vs Czechia D,3,27.0,9.0,Lukáš Souček,wbciwbtc,Czechia B,Matěj Holub,wbcpiggi,Czechia D,9.0,3.0,12.0,A
2,Czechia B vs Czechia D,3,27.0,9.0,Martin Muzika,wbcmartez,Czechia B,Jakub Fojtík,wbcfojtman,Czechia D,9.0,3.0,12.0,A
2,Czechia C vs Poland A,1,6.0,30.0,Alois Mikeš,wbclojzeidon,Czechia C,Bogdan Brachaczek,wbcbb,Poland A,2.0,10.0,12.0,B
2,Czechia C vs Poland A,1,6.0,30.0,Štěpán Tesařík,wbcperoxid,Czechia C,Michał Zajk,wbcpuholek,Poland A,3.0,9.0,12.0,B
2,Czechia C vs Poland A,1,6.0,30.0,Petr Podolský,wbcdistilfire,Czechia C,Adrian Fitzermann,wbcquantum,Poland A,1.0,11.0,12.0,B
2,Czechia C vs Poland A,2,6.0,30.0,Štěpán Tesařík,wbcperoxid,Czechia C,Adrian Fitzermann,wbcquantum,Poland A,1.0,11.0,12.0,B
2,Czechia C vs Poland A,2,6.0,30.0,Alois Mikeš,wbclojzeidon,Czechia C,Michał Zajk,wbcpuholek,Poland A,3.0,9.0,12.0,B
2,Czechia C vs Poland A,2,6.0,30.0,Petr Podolský,wbcdistilfire,Czechia C,Bogdan Brachaczek,wbcbb,Poland A,2.0,10.0,12.0,B
2,Czechia C vs Poland A,3,8.0,28.0,Alois Mikeš,wbclojzeidon,Czechia C,Adrian Fitzermann,wbcquantum,Poland A,1.0,11.0,12.0,B
2,Czechia C vs Poland A,3,8.0,28.0,Petr Podolský,wbcdistilfire,Czechia C,Michał Żukowski,wbcbeetle,Poland A,2.0,10.0,12.0,B
2,Czechia C vs Poland A,3,8.0,28.0,Štěpán Tesařík,wbcperoxid,Czechia C,Bogdan Brachaczek,wbcbb,Poland A,5.0,7.0,12.0,B
2,Czechia E vs Slovakia,1,16.0,20.0,Jan Purkrábek,wbcpurkys,Czechia E,Milán Nagy,wbcgenghis,Slovakia,4.0,8.0,12.0,B
2,Czechia E vs Slovakia,1,16.0,20.0,Jan Kopecký,wbcdeafbat,Czechia E,Michal Ferdinandy,wbcmichi,Slovakia,9.0,3.0,12.0,A
2,Czechia E vs Slovakia,1,16.0,20.0,Radim Kostlivý,wbcshpek,Czechia E,Igor Eged,wbcg3m,Slovakia,3.0,9.0,12.0,B
2,Czechia E vs Slovakia,2,16.0,20.0,Jan Purkrábek,wbcpurkys,Czechia E,Michal Ferdinandy,wbcmichi,Slovakia,5.0,7.0,12.0,B
2,Czechia E vs Slovakia,2,16.0,20.0,Jan Kopecký,wbcdeafbat,Czechia E,Igor Eged,wbcg3m,Slovakia,4.0,8.0,12.0,B
2,Czechia E vs Slovakia,2,16.0,20.0,Radim Kostlivý,wbcshpek,Czechia E,Milán Nagy,wbcgenghis,Slovakia,7.0,5.0,12.0,A
2,Czechia E vs Slovakia,3,18.0,18.0,Jan Purkrábek,wbcpurkys,Czechia E,Igor Eged,wbcg3m,Slovakia,2.0,10.0,12.0,B
2,Czechia E vs Slovakia,3,18.0,18.0,Radim Kostlivý,wbcshpek,Czechia E,Michal Ferdinandy,wbcmichi,Slovakia,8.0,4.0,12.0,A
2,Czechia E vs Slovakia,3,18.0,18.0,Jan Kopecký,wbcdeafbat,Czechia E,Milán Nagy,wbcgenghis,Slovakia,8.0,4.0,12.0,A
2,Czechia F vs Team International D,1,16.0,20.0,Libor Krejčíř,wbcadelstepan,Czechia F,Li Fuwen,wbcplayer,Team International D,4.0,8.0,12.0,B
2,Czechia F vs Team International D,1,16.0,20.0,Jakub Šalajka,wbcvotocek,Czechia F,Wang Siyuan,wbc1211,Team International D,12.0,0.0,12.0,A
2,Czechia F vs Team International D,2,15.0,21.0,Libor Krejčíř,wbcadelstepan,Czechia F,Nguyễn Công Minh,wbcnguyenminh,Team International D,2.0,10.0,12.0,B
2,Czechia F vs Team International D,2,15.0,21.0,Jakub Šalajka,wbcvotocek,Czechia F,Li Fuwen,wbcplayer,Team International D,4.0,8.0,12.0,B
2,Czechia F vs Team International D,2,15.0,21.0,Vít Jiřík,wbcskoupy,Czechia F,Wang Siyuan,wbc1211,Team International D,9.0,3.0,12.0,A
