nick_a,nick_b,games,a_wins,b_wins,draws,p_a_wins,ci_lower,ci_upper,uncertainty
wbcshpek,wbcmichi,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcskoupy,wbc1211,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcskoupy,wbcg3m,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcskoupy,wbcgenghis,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcskoupy,wbcmichi,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcskoupy,wbcplayer,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbctasemnice,wbcciaran,1,0,0,1,0.5,0.09429932405024609,0.9057006759497539,0.8114013518995078
wbctasemnice,wbccsaba,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbctasemnice,wbciron,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbctasemnice,wbckaktuszka,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbctasemnice,wbctorpe,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbctorpe,wbcasz,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbctorpe,wbcnirvana,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbctorpe,wbcpangbai,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbctorpe,wbcrostas,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbctorpe,wbcuida,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbctorpe,wbcyu20,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcuida,wbcashot,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
